File,OriginalBytes,NewBytes,OriginalKB,NewKB,SavedKB,SavedPercent
images/Alatar/alatar_throne.webp,480978,507750,469.71,495.85,-26.14,-5.57
images/Alatar/Alekin_Anger.webp,86242,83394,84.22,81.44,2.78,3.30
images/Alatar/Alekin_Disgust.webp,79980,77856,78.11,76.03,2.07,2.66
images/Alatar/Alekin_Fear.webp,85084,83280,83.09,81.33,1.76,2.12
images/Alatar/Alekin_Neutral.webp,77170,75584,75.36,73.81,1.55,2.06
images/Alatar/Alekin_Sadness.webp,85204,83168,83.21,81.22,1.99,2.39
images/Alatar/queen_of_alatar.Avatar.webp,134336,130330,131.19,127.28,3.91,2.98
images/Alatar/queen_of_alatar.Token.webp,23592,20318,23.04,19.84,3.20,13.88
images/Briarmurk/asira_priestess_of_the_entangled_flora.Avatar.webp,90144,89144,88.03,87.05,0.98,1.11
images/Briarmurk/asira_priestess_of_the_entangled_flora.Token.webp,44616,42902,43.57,41.90,1.67,3.84
images/Briarmurk/Briarmurk Camp.webp,1599902,272466,1562.40,266.08,1296.32,82.97
images/Briarmurk/rashai_priestess_of_the_crying_moon.Avatar.webp,53374,53050,52.12,51.81,0.32,0.61
images/Briarmurk/rashai_priestess_of_the_crying_moon.Token.webp,45426,44304,44.36,43.27,1.10,2.47
images/Briarmurk/terina_priestess_of_the_eternal_dream.Avatar.webp,46244,45346,45.16,44.28,0.88,1.94
images/Briarmurk/terina_priestess_of_the_eternal_dream.Token.webp,48620,46686,47.48,45.59,1.89,3.98
images/Briarmurk/The Apex of Terrateotl.webp,4176290,459296,4078.41,448.53,3629.88,89.00
images/Briarmurk/Token_Selector_Final_Final.webp,378210,141206,369.35,137.90,231.45,62.66
images/Briarmurk/twisted_magic_orb_bramble_.Avatar.webp,32990,32588,32.22,31.82,0.39,1.22
images/Briarmurk/twisted_magic_orb_bramble_.Token.webp,11942,11154,11.66,10.89,0.77,6.60
images/Briarmurk/twisted_magic_orb_mist_.Avatar.webp,12408,11848,12.12,11.57,0.55,4.51
images/Briarmurk/twisted_magic_orb_mist_.Token.webp,4922,4392,4.81,4.29,0.52,10.77
images/Briarmurk/twisted_magic_orb_moon_.Avatar.webp,16408,15708,16.02,15.34,0.68,4.27
images/Briarmurk/twisted_magic_orb_moon_.Token.webp,6090,5452,5.95,5.32,0.62,10.48
images/Dino Brawl/ankylosaurus.Token.Blue.webp,54546,53686,53.27,52.43,0.84,1.58
images/Dino Brawl/ankylosaurus.Token.Red.webp,56718,55850,55.39,54.54,0.85,1.53
images/Dino Brawl/Ankylosaurus.webp,56502,55984,55.18,54.67,0.51,0.92
images/Dino Brawl/brontosaurus.Token.Blue.webp,51342,50062,50.14,48.89,1.25,2.49
images/Dino Brawl/brontosaurus.Token.Red.webp,52606,51484,51.37,50.28,1.10,2.13
images/Dino Brawl/Brontosaurus.webp,118708,90920,115.93,88.79,27.14,23.41
images/Dino Brawl/Carnotarus.webp,72114,71306,70.42,69.63,0.79,1.12
images/Dino Brawl/carnotaurus.Token.Blue.webp,50010,48200,48.84,47.07,1.77,3.62
images/Dino Brawl/carnotaurus.Token.Red.webp,49186,47380,48.03,46.27,1.76,3.67
images/Dino Brawl/iguanodon.Token.Blue.webp,55238,54020,53.94,52.75,1.19,2.21
images/Dino Brawl/iguanodon.Token.Red.webp,55566,54272,54.26,53.00,1.26,2.33
images/Dino Brawl/Iguanodon.webp,52470,51972,51.24,50.75,0.49,0.95
images/Dino Brawl/majungasaurus.Token.Blue.webp,47780,45824,46.66,44.75,1.91,4.09
images/Dino Brawl/majungasaurus.Token.Red.webp,47940,46136,46.82,45.05,1.76,3.76
images/Dino Brawl/Majungasaurus.webp,21496,20962,20.99,20.47,0.52,2.48
images/Dino Brawl/pachycephalosaurus.Token.Blue.webp,56520,55280,55.20,53.98,1.21,2.19
images/Dino Brawl/pachycephalosaurus.Token.Red.webp,55102,53646,53.81,52.39,1.42,2.64
images/Dino Brawl/Pachycephalosaurus.webp,150490,115902,146.96,113.19,33.78,22.98
images/Dino Brawl/stegosaurus.Token.Blue.webp,66500,65182,64.94,63.65,1.29,1.98
images/Dino Brawl/stegosaurus.Token.Red.webp,64008,62524,62.51,61.06,1.45,2.32
images/Dino Brawl/Stegosaurus.webp,156254,129656,152.59,126.62,25.97,17.02
images/Dino Brawl/therizinosaurus.Token.Blue.webp,51282,49698,50.08,48.53,1.55,3.09
images/Dino Brawl/therizinosaurus.Token.Red.webp,51478,50290,50.27,49.11,1.16,2.31
images/Dino Brawl/Therizinosaurus.webp,93386,91870,91.20,89.72,1.48,1.62
images/Dino Brawl/triceratops.Token.Blue.webp,53682,52420,52.42,51.19,1.23,2.35
images/Dino Brawl/triceratops.Token.Red.webp,52364,50952,51.14,49.76,1.38,2.70
images/Dino Brawl/Triceratops.webp,155728,128102,152.08,125.10,26.98,17.74
images/Dino Brawl/tyrannosaurus.Token.Blue.webp,58730,57514,57.35,56.17,1.19,2.07
images/Dino Brawl/tyrannosaurus.Token.Red.webp,58896,57470,57.52,56.12,1.39,2.42
images/Dino Brawl/Tyrannosaurus.webp,150364,124584,146.84,121.66,25.18,17.15
images/Covalon Basics/BrawlArena copy.webp,11229256,1421400,10966.07,1388.09,9577.98,87.34
images/Covalon Basics/BrawlArena.webp,2011172,1427800,1964.04,1394.34,569.70,29.01
images/Covalon Basics/Covalon_Banner.webp,43246,41518,42.23,40.54,1.69,4.00
images/Covalon Basics/DungeoneeringSociety.webp,2329976,1809862,2275.37,1767.44,507.92,22.32
images/Covalon Basics/DungeoneeringSocietyContract.webp,163488,159406,159.66,155.67,3.99,2.50
images/Covalon Basics/MawOutpost.webp,1355834,982758,1324.06,959.72,364.33,27.52
images/Covalon Basics/NorthGate.webp,2015034,1470662,1967.81,1436.19,531.61,27.02
images/Covalon Basics/SouthEastGate.webp,2984048,2204976,2914.11,2153.30,760.81,26.11
images/Covalon Basics/Updated_Dungeoneering_Society_with_Archive.webp,10052558,1856036,9816.95,1812.54,8004.42,81.54
images/Covalon Basics/Updated_Dungeoneering_Society_with_Archive_Gridless.webp,9786344,1469034,9556.98,1434.60,8122.37,84.99
images/Fey Courts/fallen_noble_artwork.webp,388790,41014,379.68,40.05,339.63,89.45
images/Fey Courts/fallen_noble_damaged_token.webp,92134,39126,89.97,38.21,51.77,57.53
images/Fey Courts/fallen_noble_token.webp,88508,38228,86.43,37.33,49.10,56.81
images/Fey Courts/Fey Courts Camp.webp,1005520,841328,981.95,821.61,160.34,16.33
images/Fey Courts/feycourts-finale-throne-room.webp,373624,342882,364.87,334.85,30.02,8.23
